;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV990;Dzùkija;Dzùkija;Dzùkija;;Dzùkija;;;;;;;;;x
PROV991;Chelm;Chelm;Chelm;;Chelm;;;;;;;;;x
PROV992;Upytë;Upytë;Upytë;;Upytë;;;;;;;;;x
PROV993;Belz;Belz;Belz;;Belz;;;;;;;;;x
PROV994;Druck;Druck;Druck;;Druck;;;;;;;;;x
PROV995;Gomel;Gomel;Gomel;;Gomel;;;;;;;;;x
PROV996;Lublin;Lublin;Lublin;;Lublin;;;;;;;;;x
PROV997;Nalshia;Nalshia;Nalshia;;Nalshia;;;;;;;;;x
PROV998;Voigtland;Voigtland;Voigtland;;Voigtland;;;;;;;;;x
PROV999;Legnica;Legnica;Legnica;;Legnica;;;;;;;;;x
PROV1000;Szerém ;Szerém ;Szerém ;;Szerém ;;;;;;;;;x
PROV1001;Zavrsje;Zavrsje;Zavrsje;;Zavrsje;;;;;;;;;x
PROV1002;Donji Kraji;Donji Kraji;Donji Kraji;;Donji Kraji;;;;;;;;;x
PROV1003;Kotor;Kotor;Kotor;;Kotor;;;;;;;;;x
PROV1004;Viroviticka;Viroviticka;Viroviticka;;Viroviticka;;;;;;;;;x
PROV1005;Zaránd;Zaránd;Zaránd;;Zaránd;;;;;;;;;x
PROV1006;Krassó;Krassó;Krassó;;Krassó;;;;;;;;;x
PROV1007;Königssondergau;Königssondergau;Königssondergau;;Königssondergau;;;;;;;;;x
PROV1008;Zweibrücken;Zweibrücken;Zweibrücken;;Zweibrücken;;;;;;;;;x
PROV1009;Mark;Mark;Mark;;Mark;;;;;;;;;x
PROV1010;Sunmœri;Sunmœri;Sunmœri;;Sunmœri;;;;;;;;;x
PROV1011;Arbër;Arbër;Arbër;;Arbër;;;;;;;;;x
PROV1012;Prizren;Prizren;Prizren;;Prizren;;;;;;;;;x
PROV1013;Vlorë;Vlorë;Vlorë;;Vlorë;;;;;;;;;x
PROV1014;Corfu;Corfu;Corfu;;Corfu;;;;;;;;;x
PROV1015;Skopje;Skopje;Skopje;;Skopje;;;;;;;;;x
PROV1016;Traianopolis;Traianopolis;Traianopolis;;Traianopolis;;;;;;;;;x
PROV1017;Veluwe;Veluwe;Veluwe;;Veluwe;;;;;;;;;x
PROV1018;Vianden;Vianden;Vianden;;Vianden;;;;;;;;;x
PROV1019;Brussel;Brussel;Brussel;;Brussel;;;;;;;;;x
PROV1020;Schaumburg;Schaumburg;Schaumburg;;Schaumburg;;;;;;;;;x
PROV1021;Arlon;Arlon;Arlon;;Arlon;;;;;;;;;x
PROV1022;Valenciennes;Valenciennes;Valenciennes;;Valenciennes;;;;;;;;;x
PROV1023;Bar;Bar;Bar;;Bar;;;;;;;;;x
PROV1024;Cambrai;Cambrai;Cambrai;;Cambrai;;;;;;;;;x
PROV1025;Reynoldsburgh;Reynoldsburgh;Reynoldsburgh;;Reynoldsburgh;;;;;;;;;x
PROV1026;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
PROV1027;Western Sjaelland;Western Sjaelland;Western Sjaelland;;Western Sjaelland;;;;;;;;;x
PROV1028;Mousson;Mousson;Mousson;;Mousson;;;;;;;;;x
PROV1029;Teck;Teck;Teck;;Teck;;;;;;;;;x
PROV1030;Eberstein;Eberstein;Eberstein;;Eberstein;;;;;;;;;x
PROV1031;Zollern;Zollern;Zollern;;Zollern;;;;;;;;;x
PROV1032;Öettingen;Öettingen;Öettingen;;Öettingen;;;;;;;;;x
PROV1033;Leuchtenberg;Leuchtenberg;Leuchtenberg;;Leuchtenberg;;;;;;;;;x
PROV1034;Helfenstein;Helfenstein;Helfenstein;;Helfenstein;;;;;;;;;x
PROV1035;Hohenloe;Hohenloe;Hohenloe;;Hohenloe;;;;;;;;;x
PROV1036;Montbéliard;Montbéliard;Montbéliard;;Montbéliard;;;;;;;;;x
PROV1037;Basel;Basel;Basel;;Basel;;;;;;;;;x
PROV1038;Vaud;Vaud;Vaud;;Vaud;;;;;;;;;x
PROV1039;Amous;Amous;Amous;;Amous;;;;;;;;;x
PROV1040;Chablais;Chablais;Chablais;;Chablais;;;;;;;;;x
PROV1041;Aosta;Aosta;Aosta;;Aosta;;;;;;;;;x
PROV1042;Bresse;Bresse;Bresse;;Bresse;;;;;;;;;x
PROV1043;Lolland;Lolland;Lolland;;Lolland;;;;;;;;;x
PROV1044;Pontarlier;Pontarlier;Pontarlier;;Pontarlier;;;;;;;;;x
PROV1045;Vesoul;Vesoul;Vesoul;;Vesoul;;;;;;;;;x
PROV1046;Novara;Novara;Novara;;Novara;;;;;;;;;x
PROV1047;Arles;Arles;Arles;;Arles;;;;;;;;;x
PROV1048;Graisivaudan;Grésivaudan;Grésivaudan;;Grésivaudan;;;;;;;;;x
PROV1049;Gapençais;Gapençais;Gapençais;;Gapençais;;;;;;;;;x
PROV1050;Nordisland;Nordisland;Nordisland;;Nordisland;;;;;;;;;x
PROV1051;Vestervig;Vestervig;Vestervig;;Vestervig;;;;;;;;;x
PROV1052;Hardyssel;Hardyssel;Hardyssel;;Hardyssel;;;;;;;;;x
PROV1053;Dannenberg;Dannenberg;Dannenberg;;Dannenberg;;;;;;;;;x
PROV1054;Henneberg;Henneberg;Henneberg;;Henneberg;;;;;;;;;x
PROV1055;Pultusk;Pultusk;Pultusk;;Pultusk;;;;;;;;;x
PROV1056;Namur;Namur;Namur;;Namur;;;;;;;;;x
PROV1057;Limburg;Limburg;Limburg;;Limburg;;;;;;;;;x
PROV1058;Zutphen;Zutphen;Zutphen;;Zutphen;;;;;;;;;x
PROV1059;Oversticht;Oversticht;Oversticht;;Oversticht;;;;;;;;;x
PROV1060;La Roche;La Roche;La Roche;;La Roche;;;;;;;;;x
PROV1061;Chiny;Chiny;Chiny;;Chiny;;;;;;;;;x
PROV1062;Sponheim;Sponheim;Sponheim;;Sponheim;;;;;;;;;x
PROV1063;Berg;Berg;Berg;;Berg;;;;;;;;;x
PROV1064;Niederlausitz;Niederlausitz;Niederlausitz;;Niederlausitz;;;;;;;;;x
PROV1065;Dithmarschen;Dithmarschen;Dithmarschen;;Dithmarschen;;;;;;;;;x
PROV1066;Wagrien;Wagrien;Wagrien;;Wagrien;;;;;;;;;x
PROV1067;Kalmar;Kalmar;Kalmar;;Kalmar;;;;;;;;;x
PROV1068;Zemgali;Zemgali;Zemgali;;Zemgali;;;;;;;;;x
PROV1069;Nicosia;Nicosia;Nicosia;;Nicosia;;;;;;;;;x
PROV1070;Paphos;Paphos;Paphos;;Paphos;;;;;;;;;x
PROV1071;Skara;Skara;Skara;;Skara;;;;;;;;;x
PROV1072;Fjädrundaland;Fjädrundaland;Fjädrundaland;;Fjädrundaland;;;;;;;;;x
PROV1073;Attundaland;Attundaland;Attundaland;;Attundaland;;;;;;;;;x
PROV1074;Magdeburg;Magdeburg;Magdeburg;;Magdeburg;;;;;;;;;x
PROV1075;Wittenberg;Wittenberg;Wittenberg;;Wittenberg;;;;;;;;;x
PROV1076;Blankenburg;Blankenburg;Blankenburg;;Blankenburg;;;;;;;;;x
PROV1077;Brehna;Brehna;Brehna;;Brehna;;;;;;;;;x
PROV1078;Schwartzburg;Schwartzburg;Schwartzburg;;Schwartzburg;;;;;;;;;x
PROV1079;Tecklenburg;Tecklenburg;Tecklenburg;;Tecklenburg;;;;;;;;;x
PROV1080;Lori;Lori;Lori;;Lori;;;;;;;;;x
PROV1081;Odishi;Odishi;Odishi;;Odishi;;;;;;;;;x
PROV1082;Hereti;Hereti;Hereti;;Hereti;;;;;;;;;x
PROV1083;Baghk;Baghk;Baghk;;Baghk;;;;;;;;;x
PROV1084;Utik;Utik;Utik;;Utik;;;;;;;;;x
PROV1085;Artsakh;Artsakh;Artsakh;;Artsakh;;;;;;;;;x
PROV1086;Jiqeti;Jiqeti;Jiqeti;;Jiqeti;;;;;;;;;x
PROV1087;Klarjeti;Klarjeti;Klarjeti;;Klarjeti;;;;;;;;;x
PROV1088;Vanand;Vanand;Vanand;;Vanand;;;;;;;;;x
PROV1089;Simsir;Simsir;Simsir;;Simsir;;;;;;;;;x
PROV1090;Tusheti;Tusheti;Tusheti;;Tusheti;;;;;;;;;x
PROV1091;Racha;Racha;Racha;;Racha;;;;;;;;;x
PROV1092;Arran;Arran;Arran;;Arran;;;;;;;;;x
PROV1093;Corduene;Corduene;Corduene;;Corduene;;;;;;;;;x
PROV1094;Persarmenia;Persarmenia;Persarmenia;;Persarmenia;;;;;;;;;x
PROV1095;Goghtn;Goghtn;Goghtn;;Goghtn;;;;;;;;;x
PROV1096;Sarir;Sarir;Sarir;;Sarir;;;;;;;;;x
PROV1097;Dzopk;Dzopk;Dzopk;;Dzopk;;;;;;;;;x
PROV1098;Lauenburg;Lauenburg;Lauenburg;;Lauenburg;;;;;;;;;x
PROV1099;Guðbrandzdalar;Guðbrandzdalar;Guðbrandzdalar;;Guðbrandzdalar;;;;;;;;;x
PROV1100;Raumríkí;Raumríkí;Raumríkí;;Raumríkí;;;;;;;;;x
PROV1101;Terra di Comune;Terra di Comune;Terra di Comune;;Terra di Comune;;;;;;;;;x
PROV1102;Capo di Corsica;Capo di Corsica;Capo di Corsica;;Capo di Corsica;;;;;;;;;x
PROV1103;Gallura;Gallura;Gallura;;Gallura;;;;;;;;;x
PROV1104;Logudoro;Logudoro;Logudoro;;Logudoro;;;;;;;;;x
PROV1105;Gaeta;Gaeta;Gaeta;;Gaeta;;;;;;;;;x
PROV1106;Alife;Alife;Alife;;Alife;;;;;;;;;x
PROV1107;Aversa;Aversa;Aversa;;Aversa;;;;;;;;;x
PROV1108;Larino;Larino;Larino;;Larino;;;;;;;;;x
PROV1109;Teate;Teate;Teate;;Teate;;;;;;;;;x
PROV1110;Gravina;Gravina;Gravina;;Gravina;;;;;;;;;x
PROV1111;Trani;Trani;Trani;;Trani;;;;;;;;;x
PROV1112;Molise;Molise;Molise;;Molise;;;;;;;;;x
PROV1113;Manoppello;Manoppello;Manoppello;;Manoppello;;;;;;;;;x
PROV1114;Sora;Sora;Sora;;Sora;;;;;;;;;x
PROV1115;Arezzo;Arezzo;Arezzo;;Arezzo;;;;;;;;;x
PROV1116;Fermo;Fermo;Fermo;;Fermo;;;;;;;;;x
PROV1117;Camerino;Camerino;Camerino;;Camerino;;;;;;;;;x
PROV1118;Sabina;Sabina;Sabina;;Sabina;;;;;;;;;x
PROV1119;Tusculum;Tusculum;Tusculum;;Tusculum;;;;;;;;;x
PROV1120;Lunigiana;Lunigiana;Lunigiana;;Lunigiana;;;;;;;;;x
PROV1121;Montefeltro;Montefeltro;Montefeltro;;Montefeltro;;;;;;;;;x
PROV1122;Frignano;Frignano;Frignano;;Frignano;;;;;;;;;x
PROV1123;Forli;Forli;Forli;;Forli;;;;;;;;;x
PROV1124;Piacenza;Piacenza;Piacenza;;Piacenza;;;;;;;;;x
PROV1125;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
PROV1126;Modica;Modica;Modica;;Modica;;;;;;;;;x
PROV1127;Macva;Macva;Macva;;Macva;;;;;;;;;x
PROV1128;Viterbo;Viterbo;Viterbo;;Viterbo;;;;;;;;;x
PROV1129;Finale;Finale;Finale;;Finale;;;;;;;;;x
PROV1130;Ivrea;Ivrea;Ivrea;;Ivrea;;;;;;;;;x
PROV1131;Vicenza;Vicenza;Vicenza;;Vicenza;;;;;;;;;x
PROV1132;Celano;Celano;Celano;;Celano;;;;;;;;;x
PROV1133;Rimini;Macva;Rimini;;Rimini;;;;;;;;;x
PROV1134;Castru Jani;Castru Jani;Castru Jani;;Castru Jani;;;;;;;;;x
PROV1135;Conversano;Conversano;Conversano;;Conversano;;;;;;;;;x
PROV1136;Catanzaro;Catanzaro;Catanzaro;;Catanzaro;;;;;;;;;x
PROV1137;Pistoia;Pistoia;Pistoia;;Pistoia;;;;;;;;;x
PROV1138;Volterra;Volterra;Volterra;;Volterra;;;;;;;;;x
PROV1139;Novellara;Novellara;Novellara;;Novellara;;;;;;;;;x
PROV1140;Bobbio;Bobbio;Bobbio;;Bobbio;;;;;;;;;x
PROV1141;Ventimiglia;Ventimiglia;Ventimiglia;;Ventimiglia;;;;;;;;;x
PROV1142;Como;Como;Como;;Como;;;;;;;;;x
PROV1143;Rovigo;Rovigo;Rovigo;;Rovigo;;;;;;;;;x
PROV1144;Østær Skaane;Østær Skaane;Østær Skaane;;Østær Skaane;;;;;;;;;x
PROV1145;Perugia;Perugia;Perugia;;Perugia;;;;;;;;;x
PROV1146;Iasi;Iasi;Iasi;;Iasi;;;;;;;;;x
PROV1147;Bacau;Bacau;Bacau;;Bacau;;;;;;;;;x
PROV1148;Targu Jiu;TarguJiu;TarguJiu;;TarguJiu;;;;;;;;;x
PROV1149;Buzau;Buzau;Buzau;;Buzau;;;;;;;;;x
PROV1150;Bars;Bars;Bars;;Bars;;;;;;;;;x
PROV1151;Komarom;Komarom;Komarom;;Komarom;;;;;;;;;x
PROV1152;Békés;Békés;Békés;;Békés;;;;;;;;;x
PROV1153;Zemplén;Zemplén;Zemplén;;Zemplén;;;;;;;;;x
PROV1154;Szepes;Szepes;Szepes;;Szepes;;;;;;;;;x
PROV1155;Hont;Hont;Hont;;Hont;;;;;;;;;x
PROV1156;Velay;Velay;Velay;;Velay;;;;;;;;;x
PROV1157;Comminges;Comminges;Comminges;;Comminges;;;;;;;;;x
PROV1158;Murat;Murat;Murat;;Murat;;;;;;;;;x
PROV1159;Auxois;Auxois;Auxois;;Auxois;;;;;;;;;x
PROV1160;Sancerre;Sancerre;Sancerre;;Sancerre;;;;;;;;;x
PROV1161;Ventadour;Ventadour;Ventadour;;Ventadour;;;;;;;;;x
PROV1162;Réthel;Réthel;Réthel;;Réthel;;;;;;;;;x
PROV1163;Perche;Perche;Perche;;Perche;;;;;;;;;x
PROV1164;Tonnerre;Tonnerre;Tonnerre;;Tonnerre;;;;;;;;;x
PROV1165;Langres;Langres;Langres;;Langres;;;;;;;;;x
PROV1166;Meaux;Meaux;Meaux;;Meaux;;;;;;;;;x
PROV1167;Albi;Albi;Albi;;Albi;;;;;;;;;x
PROV1168;Béziers;Béziers;Béziers;;Béziers;;;;;;;;;x
PROV1169;Beauvais;Beauvais;Beauvais;;Beauvais;;;;;;;;;x
PROV1170;Ponthieu;Ponthieu;Ponthieu;;Ponthieu;;;;;;;;;x
PROV1171;Alençon;Alençon;Alençon;;Alençon;;;;;;;;;x
PROV1172;Bayeux;Bayeux;Bayeux;;Bayeux;;;;;;;;;x
PROV1173;Coutances;Coutances;Coutances;;Coutances;;;;;;;;;x
PROV1174;Dreux;Dreux;Dreux;;Dreux;;;;;;;;;x
PROV1175;Porhoët;Porhoët;Porhoët;;Porhoët;;;;;;;;;x
PROV1176;Valois;Valois;Valois;;Valois;;;;;;;;;x
PROV1177;Vexin Français;Vexin Français;Vexin Français;;Vexin Français;;;;;;;;;x
PROV1178;Doornik;Doornik;Doornik;;Doornik;;;;;;;;;x
PROV1179;Rijsel;Rijsel;Rijsel;;Rijsel;;;;;;;;;x
PROV1180;Saint- Pol;Saint- Pol;Saint- Pol;;Saint- Pol;;;;;;;;;x
PROV1181;Porcien;Porcien;Porcien;;Porcien;;;;;;;;;x
PROV1182;Utlande;Utlande;Utlande;;Utlande;;;;;;;;;x
PROV1183;Ynys Môn;Ynys Môn;Ynys Môn;;Ynys Môn;;;;;;;;;x
PROV1184;Rüstringen;Rüstringen;Rüstringen;;Rüstringen;;;;;;;;;x
PROV1185;Vertus;Châtillon;Châtillon;;Châtillon;;;;;;;;;x
PROV1186;Chateaudun;Chateaudun;Chateaudun;;Chateaudun;;;;;;;;;x
PROV1187;Bigorre;Bigorre;Bigorre;;Bigorre;;;;;;;;;x
PROV1188;Quercy;Quercy;Quercy;;Quercy;;;;;;;;;x
PROV1189;Gâtinais;Gâtinais;Gâtinais;;Gâtinais;;;;;;;;;x
PROV1190;Lugo;Lugo;Lugo;;Lugo;;;;;;;;;x
PROV1191;Lemos;Lemos;Lemos;;Lemos;;;;;;;;;x
PROV1192;Jaén;Jaén;Jaén;;Jaén;;;;;;;;;x
PROV1193;Toro;Toro;Toro;;Toro;;;;;;;;;x
PROV1194;Ciudad Rodrigo;Ciudad Rodrigo;Ciudad Rodrigo;;Ciudad Rodrigo;;;;;;;;;x
PROV1195;Tomar;Tomar;Tomar;;Tomar;;;;;;;;;x
PROV1196;Palencia;Palencia;Palencia;;Palencia;;;;;;;;;x
PROV1197;Medina del Campo;Medina del Campo;Medina del Campo;;Medina del Campo;;;;;;;;;x
PROV1198;Ávila;Ávila;Ávila;;Ávila;;;;;;;;;x
PROV1199;Segovia;Segovia;Segovia;;Segovia;;;;;;;;;x
PROV1200;Setúbal;Setúbal;Setúbal;;Setúbal;;;;;;;;;x
PROV1201;Guadalajara;Guadalajara;Guadalajara;;Guadalajara;;;;;;;;;x
PROV1202;Álava;Álava;Álava;;Álava;;;;;;;;;x
PROV1203;Guipúzcoa;Guipúzcoa;Guipúzcoa;;Guipúzcoa;;;;;;;;;x
PROV1204;Tudela;Tudela;Tudela;;Tudela;;;;;;;;;x
PROV1205;Sobrarbe;Sobrarbe;Sobrarbe;;Sobrarbe;;;;;;;;;x
PROV1206;Ribagorza;Ribagorza;Ribagorza;;Ribagorza;;;;;;;;;x
PROV1207;Huesca;Huesca;Huesca;;Huesca;;;;;;;;;x
PROV1208;Teruel;Teruel;Teruel;;Teruel;;;;;;;;;x
PROV1209;Caspe;Caspe;Caspe;;Caspe;;;;;;;;;x
PROV1210;Girona;Girona;Girona;;Girona;;;;;;;;;x
PROV1211;Beja;Beja;Beja;;Beja;;;;;;;;;x
PROV1212;Braga;Braga;Braga;;Braga;;;;;;;;;x
PROV1213;Viseu;Viseu;Viseu;;Viseu;;;;;;;;;x
PROV1214;Trancoso;Trancoso;Trancoso;;Trancoso;;;;;;;;;x
PROV1215;Leiria;Leiria;Leiria;;Leiria;;;;;;;;;x
PROV1216;Alcaraz;Alcaraz;Alcaraz;;Alcaraz;;;;;;;;;x
PROV1217;Logroño;Logroño;Logroño;;Logroño;;;;;;;;;x
PROV1218;Sebastia;Sebastia;Sebastia;;Sebastia;;;;;;;;;x
PROV1219;Lamas;Lamas;Lamas;;Lamas;;;;;;;;;x
PROV1220;Kaisun;Kaisun;Kaisun;;Kaisun;;;;;;;;;x
PROV1221;Anamurium;Anamurium;Anamurium;;Anamurium;;;;;;;;;x
PROV1222;In Salah;In Salah;In Salah;;In Salah;;;;;;;;;x
PROV1223;Ghadamès;Ghadamès;Ghadamès;;Ghadamès;;;;;;;;;x
PROV1224;Tekkeda;Tekkeda;Tekkeda;;Tekkeda;;;;;;;;;x
PROV1225;Agadez;Agadez;Agadez;;Agadez;;;;;;;;;x
PROV1226;Ghat;Ghat;Ghat;;Ghat;;;;;;;;;x
PROV1227;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
PROV1228;Gasga;Gasga;Gasga;;Gasga;;;;;;;;;x
PROV1229;El Fasher;El Fasher;El Fasher;;El Fasher;;;;;;;;;x
PROV1230;Dongola;Dongola;Dongola;;Dongola;;;;;;;;;x
PROV1231;Roufra;Roufra;Roufra;;Roufra;;;;;;;;;x
PROV1232;Awlil;Awlil;Awlil;;Awlil;;;;;;;;;x
PROV1233;Grand Erg;Grand Erg;Grand Erg;;Grand Erg;;;;;;;;;x
PROV1234;Ténéré;Ténéré;Ténéré;;Ténéré;;;;;;;;;x
PROV1235;Ennedi;Ennedi;Ennedi;;Ennedi;;;;;;;;;x
PROV1236;Hazart;Hazart;Hazart;;Hazart;;;;;;;;;x
PROV1237;Masyaf;Masyaf;Masyaf;;Masyaf;;;;;;;;;x
PROV1238;Harran;Harran;Harran;;Harran;;;;;;;;;x
PROV1239;Mardin;Mardin;Mardin;;Mardin;;;;;;;;;x
PROV1240;Manbij;Manbij;Manbij;;Manbij;;;;;;;;;x
PROV1241;Badiyat ash-sham;Badiyat ash-sham;Badiyat ash-sham;;Badiyat ash-sham;;;;;;;;;x
PROV1242;Salamiyah;Salamiyah;Salamiyah;;Salamiyah;;;;;;;;;x
PROV1243;Kafr-Tab;Kafr-Tab;Kafr-Tab;;Kafr-Tab;;;;;;;;;x
PROV1244;Monferrand;Monferrand;Monferrand;;Monferrand;;;;;;;;;x
PROV1245;Gibelet;Gibelet;Gibelet;;Gibelet;;;;;;;;;x
PROV1246;Aunis;Aunis;Aunis;;Aunis;;;;;;;;;x
PROV1247;Görz;Görz;Görz;;Görz;;;;;;;;;x
PROV1248;Trégor;Trégor;Trégor;;Trégor;;;;;;;;;x
PROV1249;Saint-Gilles;Saint-Gilles;Saint-Gilles;;Saint-Gilles;;;;;;;;;x
PROV1250;Milau;Milau;Milau;;Milau;;;;;;;;;x
PROV1251;Carlat;Carlat;Carlat;;Carlat;;;;;;;;;x
PROV1252;Valentinois;Valentinois;Valentinois;;Valentinois;;;;;;;;;x
PROV1253;Marsan;Marsan;Marsan;;Marsan;;;;;;;;;x
PROV1254;Couserans;Couserans;Couserans;;Couserans;;;;;;;;;x
PROV1255;Clermont;Clermont;Clermont;;Clermont;;;;;;;;;x
PROV1256;Hildesheim;Hildesheim;Hildesheim;;Hildesheim;;;;;;;;;x
PROV1257;Regensburg;Regensburg;Regensburg;;Regensburg;;;;;;;;;x
PROV1258;Southisland;South Iceland;South Iceland;;South Iceland;;;;;;;;;x
