;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_finland_adj;Finnish;Finnish;Finnish;;Finnish;;;;;;;;;x
d_powys;Powys;Powys;Powys;;Powys;;;;;;;;;x
d_powys_adj;Powish;Powish;Powish;;Powish;;;;;;;;;x
d_morgannwg;Morgannwg;Morgannwg;Morgannwg;;Morgannwg;;;;;;;;;x
d_morgannwg_adj;Morgannish;Morgannish;Morgannish;;Morgannish;;;;;;;;;x
d_pinsk;Podlasie;Podlasie;Podlasie;;Podlasie;;;;;;;;;x
d_pinsk_adj;Podlasian;Podlasian;Podlasian;;Podlasian;;;;;;;;;x
d_lettigale;Lettigallia;Lettigallia;Lettigallia;;Lettigallia;;;;;;;;;x
d_lettigale_adj;Lettigallian;Lettigallian;Lettigallian;;Lettigallian;;;;;;;;;x
d_julich;Jülich;Jülich;Jülich;;Jülich;;;;;;;;;x
d_julich_adj;Jülichen;Jülichen;Jülichen;;Jülichen;;;;;;;;;x
d_la_mancha;La Mancha;La Mancha;La Mancha;;La Mancha;;;;;;;;;x
d_la_mancha_adj;Manchian;Manchian;Manchian;;Manchian;;;;;;;;;x
d_olvia;Olvia;Olvia;Olvia;;Olvia;;;;;;;;;x
d_olvia_adj;Olvian;Olvian;Olvian;;Olvian;;;;;;;;;x
d_piemonte;Piedmont;Piedmont;Piedmont;;Piedmont;;;;;;;;;x
d_piemonte_adj;Piedmontian;Piedmontian;Piedmontian;;Piedmontian;;;;;;;;;x
d_pskov;Pskov;Pskov;Pskov;;Pskov;;;;;;;;;x
d_pskov_adj;Pskovian;Pskovian;Pskovian;;Pskovian;;;;;;;;;x
d_sharukan;Sharukan;Sharukan;Sharukan;;Sharukan;;;;;;;;;x
d_sharukan_adj;Sharukanian;Sharukanian;Sharukanian;;Sharukanian;;;;;;;;;x
d_syrt;Syrt;Syrt;Syrt;;Syrt;;;;;;;;;x
d_syrt_adj;Syrtian;Syrtian;Syrtian;;Syrtian;;;;;;;;;x
d_mordva;Mordva;Mordva;Mordva;;Mordva;;;;;;;;;x
d_mordva_adj;Mordvan;Mordvan;Mordvan;;Mordvan;;;;;;;;;x
d_oldenburg;Lower Saxony;Lower Saxony;Lower Saxony;;Lower Saxony;;;;;;;;;x
d_oldenburg_adj;Lower Saxon;Lower Saxon;Lower Saxon;;Lower Saxon;;;;;;;;;x
d_nuremberg;Nürnberg;Nürnberg;Nürnberg;;Nürnberg;;;;;;;;;x
d_nuremberg_adj;Bavarian;Bavarian;Bavarian;;Bavarian;;;;;;;;;x
d_jylland;Jylland;Jylland;Jylland;;Jylland;;;;;;;;;x
d_jylland_adj;Jyllandish;Jyllandish;Jyllandish;;Jyllandish;;;;;;;;;x
d_lubeck;Lübeck;Lübeck;Lübeck;;Lübeck;;;;;;;;;x
d_lubeck_adj;Lubeckian;Lubeckian;Lubeckian;;Lubeckian;;;;;;;;;x
d_moers;Möers;Möers;Möers;;Möers;;;;;;;;;x
d_moers_adj;Möersian;Möersian;Möersian;;Möersian;;;;;;;;;x
d_aquileia;Friuli;Friuli;Friuli;;Friuli;;;;;;;;;x
d_aquileia_adj;Friulan;Friulan;Friulan;;Friulan;;;;;;;;;x
d_nordgau;Nordgau;Nordgau;Nordgau;;Nordgau;;;;;;;;;x
d_nordgau_adj;Nordgauian;Nordgauian;Nordgauian;;Nordgauian;;;;;;;;;x
d_zurich;Zürichgau;Zürichgau;Zürichgau;;Zürichgau;;;;;;;;;x
d_zurich_adj;Swiss;Swiss;Swiss;;Swiss;;;;;;;;;x
d_csanad;Csanád;Csanád;Csanád;;Csanád;;;;;;;;;x
d_csanad_adj;Csanádian;Csanádian;Csanádian;;Csanádian;;;;;;;;;x
d_vidzeme;Vidzeme;Vidzeme;Vidzeme;;Vidzeme;;;;;;;;;x
d_vidzeme_adj;Vidzemian;Vidzemian;Vidzemian;;Vidzemian;;;;;;;;;x
d_hrodna;Trakai;Trakai;Trakai;;Trakai;;;;;;;;;x
d_hrodna_adj;Trakaian;Trakaian;Trakaian;;Trakaian;;;;;;;;;x
d_druck;Minsk;Minsk;Minsk;;Minsk;;;;;;;;;x
d_druck_adj;Minskian;Minskian;Minskian;;Minskian;;;;;;;;;x
d_belz;Belz;Belz;Belz;;Belz;;;;;;;;;x
d_belz_adj;Belzian;Belzian;Belzian;;Belzian;;;;;;;;;x
d_hum;Hum;Hum;Hum;;Hum;;;;;;;;;x
d_hum_adj;Humian;Humian;Humian;;Humian;;;;;;;;;x
d_bacs;Bács;Bács;Bács;;Bács;;;;;;;;;x
d_bacs_adj;Bácsian;Bácsian;Bácsian;;Bácsian;;;;;;;;;x
d_sampi;Sámpi;Sámpi;Sámpi;;Sámpi;;;;;;;;;x
d_sampi_adj;Lappish;Lappish;Lappish;;Lappish;;;;;;;;;x
d_strymon;Strymon;Strymon;Strymon;;Strymon;;;;;;;;;x
d_strymon_adj;Greek;Greek;Greek;;Greek;;;;;;;;;x
d_skopje;Bulgaria;Bulgaria;Bulgaria;;Bulgaria;;;;;;;;;x
d_skopje_adj;Bulgarian;Bulgarian;Bulgarian;;Bulgarian;;;;;;;;;x
d_limburg;Limburg;Limburg;Limburg;;Limburg;;;;;;;;;x
d_limburg_adj;Limburgian;Limburgian;Limburgian;;Limburgian;;;;;;;;;x
d_berg;Jülich-Cleves-Berg;Jülich-Cleves-Berg;Jülich-Cleves-Berg;;Jülich-Cleves-Berg;;;;;;;;;x
d_berg_adj;Renan;Renan;Renan;;Renan;;;;;;;;;x
d_mainz;Mainz;Mainz;Mainz;;Mainz;;;;;;;;;x
d_mainz_adj;Rheinish;Rheinish;Rheinish;;Rheinish;;;;;;;;;x
d_bishopmunster;Münster;Münster;Münster;;Münster;;;;;;;;;x
d_bishopmunster_adj;Münsterian;Münsterian;Münsterian;;Münsterian;;;;;;;;;x
d_trier;Trier;Trier;Trier;;Trier;;;;;;;;;x
d_trier_adj;Trierian;Trierian;Trierian;;Trierian;;;;;;;;;x
d_salzburg;Salzburg;Salzburg;Salzburg;;Salzburg;;;;;;;;;x
d_salzburg_adj;Salzburgian;Salzburgian;Salzburgian;;Salzburgian;;;;;;;;;x
d_bremen;Bremen;Bremen;Bremen;;Bremen;;;;;;;;;x
d_bremen_adj;Bremish;Bremish;Bremish;;Bremish;;;;;;;;;x
d_wurzburg;Eastern Franconia;Eastern Franconia;Eastern Franconia;;Eastern Franconia;;;;;;;;;x
d_wurzburg_adj;Eastern Franconian;Eastern Franconian;Eastern Franconian;;Eastern Franconian;;;;;;;;;x
d_hainaut;Hainaut;Hainaut;Hainaut;;Hainaut;;;;;;;;;x
d_hainaut_adj;Hainautish;Hainautish;Hainautish;;Hainautish;;;;;;;;;x
d_barleduc;Bar;Bar;Bar;;Bar;;;;;;;;;x
d_barleduc_adj;Barroisian;Barroisian;Barroisian;;Barroisian;;;;;;;;;x
d_niederbayern;Lower Bavaria;Lower Bavaria;Lower Bavaria;;Lower Bavaria;;;;;;;;;x
d_niederbayern_adj;Lower Bavarian;Lower Bavarian;Lower Bavarian;;Lower Bavarian;;;;;;;;;x
d_zahringen;Zähringen;Zähringen;Zähringen;;Zähringen;;;;;;;;;x
d_zahringen_adj;Zähringian;Zähringian;Zähringian;;Zähringian;;;;;;;;;x
d_bamberg;Bamberg;Bamberg;Bamberg;;Bamberg;;;;;;;;;x
d_bamberg_adj;Bambergian;Bambergian;Bambergian;;Bambergian;;;;;;;;;x
d_teck;Teck;Teck;Teck;;Teck;;;;;;;;;x
d_teck_adj;Teckish;Teckish;Teckish;;Teckish;;;;;;;;;x
d_chur;Chur;Chur;Chur;;Chur;;;;;;;;;x
d_chur_adj;Churish;Churish;Churish;;Churish;;;;;;;;;x
d_basel;Basel;Basel;Basel;;Basel;;;;;;;;;x
d_basel_adj;Baselian;Baselian;Baselian;;Baselian;;;;;;;;;x
d_arles;Arle;Arle;Arle;;Arle;;;;;;;;;x
d_arles_adj;Arlois;Arlois;Arlois;;Arlois;;;;;;;;;x
d_lyon;Lyon;Lyon;Lyon;;Lyon;;;;;;;;;x
d_lyon_adj;Lyonnais;Lyonnais;Lyonnais;;Lyonnais;;;;;;;;;x
d_aosta;Aosta;Aosta;Aosta;;Aosta;;;;;;;;;x
d_aosta_adj;Aostan;Aostan;Aostan;;Aostan;;;;;;;;;x
d_liege;Liege;Liege;Liege;;Liege;;;;;;;;;x
d_liege_adj;Liegian;Liegian;Liegian;;Liegian;;;;;;;;;x
d_halsingland;Hälsingland;Hälsingland;Hälsingland;;Hälsingland;;;;;;;;;x
d_halsingland_adj;Norrländish;Norrländish;Norrländish;;Norrländish;;;;;;;;;x
d_bergslagen;Svealand;Svealand;Svealand;;Svealand;;;;;;;;;x
d_bergslagen_adj;Svea;Svea;Svea;;Svea;;;;;;;;;x
d_smaland;Gotland;Gotland;Gotland;;Gotland;;;;;;;;;x
d_smaland_adj;Gotlandish;Gotlandish;Gotlandish;;Gotlandish;;;;;;;;;x
d_albania;Albania;Albania;Albania;;Albania;;;;;;;;;x
d_albania_adj;Georgian;Georgian;Georgian;;Georgian;;;;;;;;;x
d_vaspurakan;Vaspurakan;Vaspurakan;Vaspurakan;;Vaspurakan;;;;;;;;;x
d_vaspurakan_adj;Armenian;Armenian;Armenian;;Armenian;;;;;;;;;x
d_suenik;Suenik;Suenik;Suenik;;Suenik;;;;;;;;;x
d_suenik_adj;Armenian;Armenian;Armenian;;Armenian;;;;;;;;;x
d_tao;Tayk;Tayk;Tayk;;Tayk;;;;;;;;;x
d_tao_adj;Anatolian;Anatolian;Anatolian;;Anatolian;;;;;;;;;x
d_frisia;Frisia;Frisia;Frisia;;Frisia;;;;;;;;;x
d_frisia_adj;Frisian;Frisian;Frisian;;Frisian;;;;;;;;;x
d_osnabruck;Osnabrück;Osnabrück;Osnabrück;;Osnabrück;;;;;;;;;x
d_osnabruck_adj;Osnabrückish;Osnabrückish;Osnabrückish;;Osnabrückish;;;;;;;;;x
d_magdeburg;Magdeburg;Magdeburg;Magdeburg;;Magdeburg;;;;;;;;;x
d_magdeburg_adj;Magdeburgish;Magdeburgish;Magdeburgish;;Magdeburgish;;;;;;;;;x
d_vestlandet;Vestlandet;Vestlandet;Vestlandet;;Vestlandet;;;;;;;;;x
d_vestlandet_adj;Vestlander;Vestlander;Vestlander;;Vestlander;;;;;;;;;x
d_limisol;Limmassol;Limmassol;Limmassol;;Limmassol;;;;;;;;;x
d_limisol_adj;Limmassolian;Limmassolian;Limmassolian;;Limmassolian;;;;;;;;;x
d_corsica;Corsica;Corsica;Corsica;;Corsica;;;;;;;;;x
d_corsica_adj;Corsican;Corsican;Corsican;;Corsican;;;;;;;;;x
d_sjaelland;Sjaelland;Sjaelland;Sjaelland;;Sjaelland;;;;;;;;;x
d_sjaelland_adj;Sjaellander;Sjaellander;Sjaellander;;Sjaellander;;;;;;;;;x
d_essex_adj;East Saxon;East Saxon;East Saxon;;East Saxon;;;;;;;;;x
d_essex;Essex;Essex;Essex;;Essex;;;;;;;;;x
d_wessex;Wessex;Wessex;Wessex;;Wessex;;;;;;;;;x
d_wessex_adj;West Saxon;West Saxon;West Saxon;;West Saxon;;;;;;;;;x
d_chester;The Five Boroughs;The Five Boroughs;The Five Boroughs;;The Five Boroughs;;;;;;;;;x
d_chester_adj;Cestrians;Cestrians;Cestrians;;Cestrians;;;;;;;;;x
d_mercia;Mercia;Mercia;Mercia;;Mercia;;;;;;;;;x
d_mercia_adj;Mercian;Mercian;Mercian;;Mercian;;;;;;;;;x
d_northumbria;Northumbria;Northumbria;Northumbria;;Northumbria;;;;;;;;;x
d_northumbria_adj;Northumbrian;Northumbrian;Northumbrian;;Northumbrian;;;;;;;;;x
d_east_anglia;East Anglia;East Anglia;East Anglia;;East Anglia;;;;;;;;;x
d_east_anglia_adj;East Anglian;East Anglian;East Anglian;;East Anglian;;;;;;;;;x
d_kent;Kent;Kent;Kent;;Kent;;;;;;;;;x
d_kent_adj;Kentish;Kentish;Kentish;;Kentish;;;;;;;;;x
d_temes;Temes;Temes;Temes;;Temes;;;;;;;;;x
d_temes_adj;Temesite;Temesite;Temesite;;Temesite;;;;;;;;;x
d_tarent;Taranto;Taranto;Taranto;;Taranto;;;;;;;;;x
d_tarent_adj;Tarantian;Tarantian;Tarantian;;Tarantian;;;;;;;;;x
d_loritello;Loritello;Loritello;Loritello;;Loritello;;;;;;;;;x
d_loritello_adj;Loritellan;Loritellan;Loritellan;;Loritellan;;;;;;;;;x
d_napoli;Napoli;Napoli;Napoli;;Napoli;;;;;;;;;x
d_napoli_adj;Neapolitan;Neapolitan;Neapolitan;;Neapolitan;;;;;;;;;x
d_sangermano;Terra Sancti Benedicti;Terra Sancti Benedicti;Terra Sancti Benedicti;;Terra Sancti Benedicti;;;;;;;;;x
d_sangermano_adj;Bendictian;Bendictian;Bendictian;;Bendictian;;;;;;;;;x
d_ravenna;Ravenna;Ravenna;Ravenna;;Ravenna;;;;;;;;;x
d_ravenna_adj;Romagnian;Romagnian;Romagnian;;Romagnian;;;;;;;;;x
d_modena;Modena e Reggio;Modena e Reggio;Modena e Reggio;;Modena e Reggio;;;;;;;;;x
d_modena_adj;Reggian;Reggian;Reggian;;Reggian;;;;;;;;;x
d_urbino;Urbino;Urbino;Urbino;;Urbino;;;;;;;;;x
d_urbino_adj;Urbinian;Urbinian;Urbinian;;Urbinian;;;;;;;;;x
d_lucca;Lucca;Lucca;Lucca;;Lucca;;;;;;;;;x
d_lucca_adj;Luccan;Luccan;Luccan;;Luccan;;;;;;;;;x
d_mantua;Mantua;Mantua;Mantua;;Mantua;;;;;;;;;x
d_mantua_adj;Mantuan;Mantuan;Mantuan;;Mantuan;;;;;;;;;x
d_parma;Parma;Parma;Parma;;Parma;;;;;;;;;x
d_parma_adj;Parmigian;Parmigian;Parmigian;;Parmigian;;;;;;;;;x
d_savona;Savona;Savona;Savona;;Savona;;;;;;;;;x
d_savona_adj;Savonan;Savonan;Savonan;;Savonan;;;;;;;;;x
d_monferrato;Monferrato;Monferrato;Monferrato;;Monferrato;;;;;;;;;x
d_monferrato_adj;Monferratian;Monferratian;Monferratian;;Monferratian;;;;;;;;;x
d_alvito;Abruzzi;Abruzzi;Abruzzi;;Abruzzi;;;;;;;;;x
d_alvito_adj;Abruzzan;Abruzzan;Abruzzan;;Abruzzan;;;;;;;;;x
d_oltenia;Oltenia;Oltenia;Oltenia;;Oltenia;;;;;;;;;x
d_oltenia_adj;Oltenian;Oltenian;Oltenian;;Oltenian;;;;;;;;;x
d_basarabia;Basarabia;Basarabia;Basarabia;;Basarabia;;;;;;;;;x
d_basarabia_adj;Basarabian;Basarabian;Basarabian;;Basarabian;;;;;;;;;x
d_ujavar;Újavár;Újavár;Újavár;;Újavár;;;;;;;;;x
d_ujavar_adj;Újavárian;Újavárian;Újavárian;;Újavárian;;;;;;;;;x
d_gyor;Gyõr;Gyõr;Gyõr;;Gyõr;;;;;;;;;x
d_gyor_adj;Gyõrian;Gyõrian;Gyõrian;;Gyõrian;;;;;;;;;x
d_kakheti;Kakheti;Kakheti;Kakheti;;Kakheti;;;;;;;;;x
d_kakheti_ad;Kakhetian;Kakhetian;Kakhetian;;Kakhetian;;;;;;;;;x
d_limousin;Limousin;Limousin;Limousin;;Limousin;;;;;;;;;x
d_limousin_adj;Limousinian;Limousinian;Limousinian;;Limousinian;;;;;;;;;x
d_septimania;Septimania;Septimania;Septimania;;Septimania;;;;;;;;;x
d_septimania_adj;Septimanian;Septimanian;Septimanian;;Septimanian;;;;;;;;;x
d_archberry;Berry;Berry;Berry;;Berry;;;;;;;;;x
d_archberry_adj;Berrois;Berrois;Berrois;;Berrois;;;;;;;;;x
d_archreims;Reims;Reims;Reims;;Reims;;;;;;;;;x
d_archreims_adj;Reimes;Reimes;Reimes;;Reimes;;;;;;;;;x
d_lowerbrittany;Lower Brittany;Lower Brittany;Lower Brittany;;Lower Brittany;;;;;;;;;x
d_lowerbrittany_adj;Lower Breton;Lower Breton;Lower Breton;;Lower Breton;;;;;;;;;x
d_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
d_artois_adj;Artoisian;Artoisian;Artoisian;;Artoisian;;;;;;;;;x
d_alencon;Alençon;Alençon;Alençon;;Alençon;;;;;;;;;x
d_alencon_adj;Alençonian;Alençonian;Alençonian;;Alençonian;;;;;;;;;x
d_blois;Blois;Blois;Blois;;Blois;;;;;;;;;x
d_blois_adj;Bloisan;Bloisan;Bloisan;;Bloisan;;;;;;;;;x
c_zemgalians;Riga;Riga;Riga;;Riga;;;;;;;;;x
c_zemgalians_adj;Rigan;Rigan;Rigan;;Rigan;;;;;;;;;x
c_arad_adj;Zarándian;Zarándian;Zarándian;;Zarándian;;;;;;;;;x
c_maelienydd;Maelienydd;Maelienydd;Maelienydd;;Maelienydd;;;;;;;;;x
c_maelienydd_adj;Maelienaidd;Maelienaidd;Maelienaidd;;Maelienaidd;;;;;;;;;x
c_powys_fadog;Maelor;Maelor;Maelor;;Maelor;;;;;;;;;x
c_powys_fadog_adj;Maeloran;Maeloran;Maeloran;;Maeloran;;;;;;;;;x
c_powys_wenwynwyn;Cyfeiliog;Cyfeiliog;Cyfeiliog;;Cyfeiliog;;;;;;;;;x
c_powys_wenwynwyn_adj;Cyfeilish;Cyfeilish;Cyfeilish;;Cyfeilish;;;;;;;;;x
c_brycheiniog;Brycheiniog;Brycheiniog;Brycheiniog;;Brycheiniog;;;;;;;;;x
c_brycheiniog_adj;Brycheinish;Brycheinish;Brycheinish;;Brycheinish;;;;;;;;;x
c_ystrad_tywi;Ystrad Tywi;Ystrad Tywi;Ystrad Tywi;;Ystrad Tywi;;;;;;;;;x
c_ystrad_tywi_adj;Tywish;Tywish;Tywish;;Tywish;;;;;;;;;x
c_ceredigion;Ceredigion;Ceredigion;Ceredigion;;Ceredigion;;;;;;;;;x
c_ceredigion_adj;Ceredigish;Ceredigish;Ceredigish;;Ceredigish;;;;;;;;;x
c_meirionnydd;Meirionnydd;Meirionnydd;Meirionnydd;;Meirionnydd;;;;;;;;;x
c_meirionnydd_adj;Meirionnaidd;Meirionnaidd;Meirionnaidd;;Meirionnaidd;;;;;;;;;x
c_westderby;Mersey;Mersey;Mersey;;Mersey;;;;;;;;;x
c_westderby_adj;Mercian;Mercian;Mercian;;Mercian;;;;;;;;;x
c_bucks;Buckingham;Buckingham;Buckingham;;Buckingham;;;;;;;;;x
c_bucks_adj;Buccasfolk;Buccasfolk;Buccasfolk;;Buccasfolk;;;;;;;;;x
c_berks;Bearroc;Bearroc;Bearroc;;Bearroc;;;;;;;;;x
c_berks_adj;Bearrocsfolk;Bearrocsfolk;Bearrocsfolk;;Bearrocsfolk;;;;;;;;;x
c_nordisland;Nordisland;Nordisland;Nordisland;;Nordisland;;;;;;;;;x
c_nordisland_adj;Nordislandish;Nordislandish;Nordislandish;;Nordislandish;;;;;;;;;x
c_henneberg;Henneberg;Henneberg;Henneberg;;Henneberg;;;;;;;;;x
c_henneberg_adj;Franconian;Franconian;Franconian;;Franconian;;;;;;;;;x
c_hardsyssel;Harsýsl;Harsýsl;Harsýsl;;Harsýsl;;;;;;;;;x
c_hardsyssel_adj;Harsýslian;Harsýslian;Harsýslian;;Harsýslian;;;;;;;;;x
c_vestervig;Vestervík;Vestervík;Vestervík;;Vestervík;;;;;;;;;x
c_vestervig_adj;Vestervíkian;Vestervíkian;Vestervíkian;;Vestervíkian;;;;;;;;;x
c_stralsund;Stralsund;Stralsund;Stralsund;;Stralsund;;;;;;;;;x
c_stralsund_adj;Pommerish;Pommerish;Pommerish;;Pommerish;;;;;;;;;x
c_finnveden;Finnveden;Finnveden;Finnveden;;Finnveden;;;;;;;;;x
c_finnveden_adj;Småländish;Småländish;Småländish;;Småländish;;;;;;;;;x
c_sponheim;Sponheim;Sponheim;Sponheim;;Sponheim;;;;;;;;;x
c_sponheim_adj;Rheinish;Rheinish;Rheinish;;Rheinish;;;;;;;;;x
c_westerburg;Berg;Berg;Berg;;Berg;;;;;;;;;x
c_westerburg_adj;Rheinish;Rheinish;Rheinish;;Rheinish;;;;;;;;;x
c_niederlausitz;Lower Lausitz;Lower Lausitz;Lower Lausitz;;Lower Lausitz;;;;;;;;;x
c_niederlausitz_adj;Lower Lausitzian;Lower Lausitzian;Lower Lausitzian;;Lower Lausitzian;;;;;;;;;x
c_nordalbingen;Dithmarchen;Dithmarchen;Dithmarchen;;Dithmarchen;;;;;;;;;x
c_nordalbingen_adj;Dithmarchis;Dithmarchis;Dithmarchis;;Dithmarchis;;;;;;;;;x
c_wargrien;Wargrien;Wargrien;Wargrien;;Wargrien;;;;;;;;;x
c_wargrien_adj;Wendish;Wendish;Wendish;;Wendish;;;;;;;;;x
c_more;Småland;Småland;Småland;;Småland;;;;;;;;;x
c_more_adj;Smålandske;Smålandske;Smålandske;;Smålandske;;;;;;;;;x
c_riga;Zemgale;Zemgale;Zemgale;;Zemgale;;;;;;;;;x
c_riga_adj;Zemgalian;Zemgalian;Zemgalian;;Zemgalian;;;;;;;;;x
c_kolberg;Kolobrzeg;Kolobrzeg;Kolobrzeg;;Kolobrzeg;;;;;;;;;x
c_kolberg_adj;Vendsih;Vendsih;Vendsih;;Vendsih;;;;;;;;;x
c_brodno;Brodno;Brodno;Brodno;;Brodno;;;;;;;;;x
c_brodno_adj;Brodnoski;Brodnoski;Brodnoski;;Brodnoski;;;;;;;;;x
c_lodz;Leczyca;Leczyca;Leczyca;;Leczyca;;;;;;;;;x
c_lodz_adj;Leczycaian;Leczycaian;Leczycaian;;Leczycaian;;;;;;;;;x
c_savona;Savona;Savona;Savona;;Savona;;;;;;;;;x
c_savona_adj;Savonaian;Savonaian;Savonaian;;Savonaian;;;;;;;;;x
c_friuli;Friuli;Friuli;Friuli;;Friuli;;;;;;;;;x
c_friuli_adj;Friulan;Friulan;Friulan;;Friulan;;;;;;;;;x
c_sangermano;Aquino;Aquino;Aquino;;Aquino;;;;;;;;;x
c_sangermano_adj;Aquinan;Aquinan;Aquinan;;Aquinan;;;;;;;;;x
c_amalfi;Amalfi;Amalfi;Amalfi;;Amalfi;;;;;;;;;x
c_amalfi_adj;Amalfian;Amalfian;Amalfian;;Amalfian;;;;;;;;;x
c_troia;Troia;Troia;Troia;;Troia;;;;;;;;;x
c_troia_adj;Troian;Troian;Troian;;Troian;;;;;;;;;x
